location,region,location_uk,location_ru,eng_oblast,eng_region,location_en,location_en_ru,russian_new
Байбузи,Черкаська область,Байбузи,Байбузы,Cherkasy Oblast,Cherkasy Region,Baibuzy,Baybuzy,Байбузы
Басы,Черкаська область,Бас,Бас,Cherkasy Oblast,Cherkasy Region,Basy,Bas,Бас
Березняки,Черкаська область,Березняк,Березняк,Cherkasy Oblast,Cherkasy Region,Berezniaky,Bereznyak,Березняк
Білозір'я,Черкаська область,Білозір'я,Белозерье,Cherkasy Oblast,Cherkasy Region,Biloziria,Belozere,Белозерье
Будище,Черкаська область,Будище,Будище,Cherkasy Oblast,Cherkasy Region,Budyshche,Budishche,Будище
Бузуків,Черкаська область,Бузуків,Бузуков,Cherkasy Oblast,Cherkasy Region,Buzukiv,Buzukov,Бузуков
Червона Слобода,Черкаська область,Червона Слобода,Красная Слобода,Cherkasy Oblast,Cherkasy Region,Chervona Sloboda,Krasnaya Sloboda,Красная Слобода
Чорнявка,Черкаська область,Чорнявка,Брюнетка,Cherkasy Oblast,Cherkasy Region,Chorniavka,Bryunetka,Чорнявка
Чубівка,Черкаська область,Чубівка,Чубовка,Cherkasy Oblast,Cherkasy Region,Chubivka,Chubovka,Чубовка
Дубіївка,Черкаська область,Дубіївка,Дубиевка,Cherkasy Oblast,Cherkasy Region,Dubiivka,Dubievka,Дубиевка
Думанці,Черкаська область,Думанці,Думанцы,Cherkasy Oblast,Cherkasy Region,Dumantsi,Dumantsy,Думанцы
Єлизаветівка,Черкаська область,Єлизаветівка,Елизаветовка,Cherkasy Oblast,Cherkasy Region,Yelyzavetivka,Yelizavetovka,Елизаветовка
Геронимівка,Черкаська область,Геронимівка,Геронимовка,Cherkasy Oblast,Cherkasy Region,Heronymivka,Geronimovka,Геронимовка
Хацьки,Черкаська область,Хацьки,Хацки,Cherkasy Oblast,Cherkasy Region,Khatsky,Khatski,Хацки
Хрещатик,Черкаська область,Хрещатик,Перекресток,Cherkasy Oblast,Cherkasy Region,Khreshchatyk,Perekrestok,Крещатик
Худяки,Черкаська область,Худяки,Худяки,Cherkasy Oblast,Cherkasy Region,Khudiaky,Khudyaki,Худышки
Хутори,Черкаська область,Хутори,Хутора,Cherkasy Oblast,Cherkasy Region,Khutory,Khutora,Хутора
Ірдинь,Черкаська область,Ірдинь,Ирдынь,Cherkasy Oblast,Cherkasy Region,Irdyn,Irdyn,Ирдынь
Кумейки,Черкаська область,Кумейки,Кумейки,Cherkasy Oblast,Cherkasy Region,Kumeiky,Kumeyki,Кумейки
Леськи,Черкаська область,Леськи,Леськи,Cherkasy Oblast,Cherkasy Region,Lesky,Leski,Леськи
Лозівок,Черкаська область,Лозівок,Лозовок,Cherkasy Oblast,Cherkasy Region,Lozivok,Lozovok,Лозовок
Мошни,Черкаська область,Мошни,Мошны,Cherkasy Oblast,Cherkasy Region,Moshny,Moshny,Мошны
Нечаівка,Черкаська область,Нечаівка,Нечаевка,Cherkasy Oblast,Cherkasy Region,Nechaivka,Nechaevka,Нечаевка
Новоселівка,Черкаська область,Новоселівка,Новоселовка,Cherkasy Oblast,Cherkasy Region,Novoselivka,Novoselovka,Новоселовка
Первомайське,Черкаська область,Первомайське,Первомайское,Cherkasy Oblast,Cherkasy Region,Pervomaiske,Pervomayskoe,Первомайское
Руська Поляна,Черкаська область,Руська Поляна,Русская Поляна,Cherkasy Oblast,Cherkasy Region,Ruska Poliana,Russkaya Polyana,Русская Поляна
Сагунівка,Черкаська область,Сагунівка,Сагуновка,Cherkasy Oblast,Cherkasy Region,Sahunivka,Sagunovka,Сагуновка
Софіївка,Черкаська область,Софіївка,Софиевка,Cherkasy Oblast,Cherkasy Region,Sofiivka,Sofievka,Софиевка
Сокирна,Черкаська область,Сокирна,Топорная,Cherkasy Oblast,Cherkasy Region,Sokyrna,Topornaya,Сокирна
Станіславчик,Черкаська область,Станіславчик,Станиславчик,Cherkasy Oblast,Cherkasy Region,Stanislavchyk,Stanislavchik,Станиславчик
Степанки,Черкаська область,Степанки,Степанки,Cherkasy Oblast,Cherkasy Region,Stepanky,Stepanki,Степанки
Свидівок,Черкаська область,Свидівок,Свидивок,Cherkasy Oblast,Cherkasy Region,Svydivok,Svidivok,Свидивок
Тубільці,Черкаська область,Тубільці,Туземцы,Cherkasy Oblast,Cherkasy Region,Tubiltsi,Tuzemtsy,Тубильцы
Вергуни,Черкаська область,Вергуни,Вергуны,Cherkasy Oblast,Cherkasy Region,Verhuny,Verguny,Вергуны
Яснозір'я,Черкаська область,Яснозір'я,Яснозорье,Cherkasy Oblast,Cherkasy Region,Yasnoziria,Yasnozore,Яснозвездное
Закревки,Черкаська область,Закревки,Закревки,Cherkasy Oblast,Cherkasy Region,Zakrevky,Zakrevki,Закревки
Бакаєве,Черкаська область,Бакаєве,Бакаево,Cherkasy Oblast,Cherkasy Region,Bakaieve,Bakaevo,Бакаево
Баталий,Черкаська область,Баталія,Баталия,Cherkasy Oblast,Cherkasy Region,Batalyi,Bataliya,Баталия
Богодухівка,Черкаська область,Богодухівка,Богодухівка,Cherkasy Oblast,Cherkasy Region,Bohodukhivka,Bogodukhіvka,Богодуховка
Чехівка,Черкаська область,Чехівка,Чеховка,Cherkasy Oblast,Cherkasy Region,Chekhivka,Chekhovka,Чеховка
Червоногірка,Черкаська область,Червоногірка,Червоногірка,Cherkasy Oblast,Cherkasy Region,Chervonohirka,Chervonogіrka,Червоногорка
Червонохижинці,Черкаська область,Червонохижинці,Червонохижинці,Cherkasy Oblast,Cherkasy Region,Chervonokhyzhyntsi,Chervonokhizhintsі,Червонохижинцы
Чорнобай,Черкаська область,Чорнобай,Чернобай,Cherkasy Oblast,Cherkasy Region,Chornobai,Chernobay,Чернобай
Франківка,Черкаська область,Франківка,Франковка,Cherkasy Oblast,Cherkasy Region,Frankivka,Frankovka,Франковка
Головатівка,Черкаська область,Головатівка,Головатівка,Cherkasy Oblast,Cherkasy Region,Holovativka,Golovatіvka,Головатовка
Григорівка,Черкаська область,Григорівка,Григоровка,Cherkasy Oblast,Cherkasy Region,Hryhorivka,Grigorovka,Григоровка
Хрестителеве,Черкаська область,Хрестителеве,Крестителево,Cherkasy Oblast,Cherkasy Region,Khrestyteleve,Krestitelevo,Крестителево
Іркліїв,Черкаська область,Іркліїв,Ирклиев,Cherkasy Oblast,Cherkasy Region,Irkliiv,Irkliev,Ирклиев
Іванівка,Черкаська область,Іванівка,Ивановка,Cherkasy Oblast,Cherkasy Region,Ivanivka,Ivanovka,Ивановка
Кліщинці,Черкаська область,Кліщинці,Клещинцы,Cherkasy Oblast,Cherkasy Region,Klishchyntsi,Kleshchintsy,Клещинцы
Коминтерн,Черкаська область,Комінтерн,Коминтерн,Cherkasy Oblast,Cherkasy Region,Komyntern,Komintern,Коминтерн
Коврай,Черкаська область,Коврай,Коврай,Cherkasy Oblast,Cherkasy Region,Kovrai,Kovray,Коврай
Красенівка,Черкаська область,Красенівка,Красеновка,Cherkasy Oblast,Cherkasy Region,Krasenivka,Krasenovka,Красеновка
Крутьки,Черкаська область,Крутьки,Крутьки,Cherkasy Oblast,Cherkasy Region,Krutky,Krutki,Крутьки
Ленінське,Черкаська область,Ленінське,Ленинское,Cherkasy Oblast,Cherkasy Region,Leninske,Leninskoe,Ленинское
Лукашівка,Черкаська область,Лукашівка,Лукашовка,Cherkasy Oblast,Cherkasy Region,Lukashivka,Lukashovka,Лукашовка
Лящівка,Черкаська область,Лящівка,Лещовка,Cherkasy Oblast,Cherkasy Region,Liashchivka,Leshchovka,Лещовка
Лихоліти,Черкаська область,Лихоліти,Лихоліти,Cherkasy Oblast,Cherkasy Region,Lykholity,Likholіti,Лихолетье
Мала Бурімка,Черкаська область,Мала Бурімка,Малая Буримка,Cherkasy Oblast,Cherkasy Region,Mala Burimka,Malaya Burimka,Малая Буримка
Малі Канівці,Черкаська область,Малі Канівці,Малые Каневцы,Cherkasy Oblast,Cherkasy Region,Mali Kanivtsi,Malye Kanevtsy,Малые Каневцы
Мар'янівка,Черкаська область,Мар'янівка,Марьяновка,Cherkasy Oblast,Cherkasy Region,Marianivka,Maryanovka,Марьяновка
Мельники,Черкаська область,Мельник,Мельник,Cherkasy Oblast,Cherkasy Region,Melnyky,Melnik,Мельник
Мохнач,Черкаська область,Волохач,Мохнач,Cherkasy Oblast,Cherkasy Region,Mokhnach,Mokhnach,Волохач
Москаленки,Черкаська область,Москаленки,Москаленки,Cherkasy Oblast,Cherkasy Region,Moskalenky,Moskalenki,Москаленки
Михайлівка,Черкаська область,Михайлівка,Михайловка,Cherkasy Oblast,Cherkasy Region,Mykhailivka,Mikhaylovka,Михайловка
Нове Життя,Черкаська область,Нове Життя,Новая Жизнь,Cherkasy Oblast,Cherkasy Region,Nove Zhyttia,Novaya Zhizn,Новые Життя
Новоселиця,Черкаська область,Новоселиця,Новоселка,Cherkasy Oblast,Cherkasy Region,Novoselytsia,Novoselka,Новоселка
Новоукраинка,Черкаська область,Новоукраїнка,Новоукраинка,Cherkasy Oblast,Cherkasy Region,Novoukraynka,Novoukrainka,Новоукраинка
Першотравневе,Черкаська область,Першотравневе,Первомайское,Cherkasy Oblast,Cherkasy Region,Pershotravneve,Pervomayskoe,Першотравнево
Придніпровське,Черкаська область,Придніпровське,Приднепровское,Cherkasy Oblast,Cherkasy Region,Prydniprovske,Pridneprovskoe,Приднепровское
Ревбинці,Черкаська область,Ревбинці,Ревбинцы,Cherkasy Oblast,Cherkasy Region,Revbyntsi,Revbintsy,Ревбинцы
Савківка,Черкаська область,Савківка,Савковка,Cherkasy Oblast,Cherkasy Region,Savkivka,Savkovka,Савковка
Скородистик,Черкаська область,Скородистик,Скородистик,Cherkasy Oblast,Cherkasy Region,Skorodystyk,Skorodistik,Скородистик
Старий Коврай,Черкаська область,Старий Коврай,Старый Коврай,Cherkasy Oblast,Cherkasy Region,Staryi Kovrai,Staryy Kovray,Старый Коврай
Старий Мохнач,Черкаська область,Старий Мохнач,Старый Мохнач,Cherkasy Oblast,Cherkasy Region,Staryi Mokhnach,Staryy Mokhnach,Старый Мохнач
