region_name_ukr,location_name_ukr,lon,lat,region_name_ru,location_name_ru
Брестська,Городище,26.000,53.316,Брестская,Городище
Брестська,Задвея,26.283,53.316,Брестская,Задвея
Брестська,Лісова,25.766,52.983,Брестская,Лесная
Брестська,Люшневе,25.716,53.233,Брестская,Люшнево
Брестська,Мала Своротва,25.700,53.366,Брестская,Малая Своротва
Брестська,Миловиди,25.850,52.900,Брестская,Миловиды
Брестська,Мовчадь,25.700,53.316,Брестская,Молчадь
Брестська,Нова Миша,25.900,53.133,Брестская,Новая Мышь
Брестська,Підгірна,25.583,52.983,Брестская,Подгорная
Брестська,Полонка,25.700,53.150,Брестская,Полонка
Брестська,Постаріння,25.916,53.216,Брестская,Постаринье
Брестська,Стайки,26.166,53.250,Брестская,Стайки
Брестська,Тешевля,25.816,53.233,Брестская,Тешевля
Брестська,Утьос,25.916,52.966,Брестская,Утес
Брестська,Білоозерськ,25.183,52.466,Брестская,Белоозерск
Брестська,Березине,24.683,52.300,Брестская,Березино
Брестська,Бобровичі,25.766,52.616,Брестская,Бобровичи
Брестська,Борки,24.150,52.783,Брестская,Борки
Брестська,Бронна Гора,25.100,52.616,Брестская,Бронная Гора
Брестська,Верхи,24.500,52.316,Брестская,Верхи
Брестська,Високе,23.366,52.366,Брестская,Высокое
Брестська,Давид-Городок,27.233,52.500,Брестская,Давид-Городок
Брестська,Деревня,24.900,52.300,Брестская,Деревня
Брестська,Добре,24.683,52.660,Брестская,Доброе
Брестська,Дуги,27.500,52.550,Брестская,Дуги
Брестська,Здітове,25.266,52.433,Брестская,Здитово
Брестська,Колонія,24.583,52.333,Брестская,Колония
Брестська,Литва,26.150,53.100,Брестская,Литва
Брестська,Лососин,24.883,52.783,Брестская,Лососин
Брестська,Люша,26.716,52.450,Брестская,Люша
Брестська,Медно,23.750,51.866,Брестская,Медно
Брестська,Невель,25.833,51.933,Брестская,Невель
Брестська,Осса,24.466,51.916,Брестская,Осса
Брестська,Паре,26.150,51.900,Брестская,Паре
Брестська,Першотравневе,24.900,52.533,Брестская,Первомайская
Брестська,Пугачово,23.750,52.660,Брестская,Пугачево
Брестська,Рачки,23.916,52.166,Брестская,Рачки
Брестська,Сілець,24.866,52.583,Брестская,Селец
Брестська,Соснівка,24.333,52.416,Брестская,Сосновка
Брестська,Спорове,25.316,52.433,Брестская,Спорово
Брестська,Старі Піски,25.200,52.516,Брестская,Старые Пески
Брестська,Стригин,25.330,52.516,Брестская,Стригин
Брестська,Судиловичі,25.500,52.350,Брестская,Судиловичи
Брестська,Хороша,25.250,52.816,Брестская,Хороша
Брестська,Брест,23.683,52.116,Брестская,Брест
Брестська,Дніпровське,24.883,52.100,Брестская,Днепровско
Брестська,Домачеве,23.616,51.733,Брестская,Домачево
Брестська,Леплівка,23.650,51.766,Брестская,Леплевка
Брестська,Мотикали,23.583,52.200,Брестская,Мотыкалы
Брестська,Оберівщина,23.383,52.416,Брестская,Оберовщина
Брестська,Приборове,23.566,51.633,Брестская,Приборово
Брестська,Радваничі-Великі,24.160,52.160,Брестская,Радваничи-Большие
Брестська,Старе Село,24.100,52.830,Брестская,Старое Село
Брестська,Страдичі,23.666,51.933,Брестская,Страдичи
Брестська,Стрії,24.400,52.316,Брестская,Стрии
Брестська,Томашівка,23.600,51.550,Брестская,Томашевка
Брестська,Чернавчиці,23.733,52.233,Брестская,Чернавчицы
Брестська,Будча,26.833,52.766,Брестская,Будча
Брестська,Ганцевичі,26.433,52.750,Брестская,Ганцевичи
Брестська,Денисковичі,26.683,52.716,Брестская,Денисковичи
Брестська,Задуб'є,26.450,52.533,Брестская,Задубье
Брестська,Локтиші,26.716,52.833,Брестская,Локтыши
Брестська,Люсине,26.516,52.633,Брестская,Люсино
Брестська,Мальковичі,26.583,52.533,Брестская,Мальковичи
Брестська,Огаревичі,26.516,52.766,Брестская,Огаревичи
Брестська,Роздяловичі,26.150,52.633,Брестская,Раздяловичи
Брестська,Хотиничі,26.300,52.633,Брестская,Хотыничи
Брестська,Чудин,26.966,52.733,Брестская,Чудин
Брестська,Антопіль,24.450,52.200,Брестская,Антополь
Брестська,Бездеж,25.300,52.316,Брестская,Бездеж
Брестська,Головчиці,24.866,52.150,Брестская,Головчицы
Брестська,Гутове,25.333,52.183,Брестская,Гутово
Брестська,Детковичі,24.816,52.316,Брестская,Детковичи
Брестська,Дрогичин,25.150,52.183,Брестская,Дрогичин
Брестська,Зарічка,25.116,52.500,Брестская,Заречка
Брестська,Малинівка,25.233,52.160,Брестская,Малиновка
Брестська,Радостів,24.950,51.966,Брестская,Радостов
Брестська,Суличеве,25.330,52.100,Брестская,Суличево
Брестська,Хомськ,25.233,52.333,Брестская,Хомск
Брестська,Жабинка,24.160,52.200,Брестская,Жабинка
Брестська,Хмелеве,23.916,52.250,Брестская,Хмелево
Брестська,Бусні,24.133,52.150,Брестская,Бусни
Брестська,Велика Гать,25.650,52.550,Брестская,Великая Гать
Брестська,Достоєво,25.683,52.233,Брестская,Достоево
Брестська,Дружиловичі,25.550,52.233,Брестская,Дружиловичи
Брестська,Іванове,25.550,52.133,Брестская,Иваново
Брестська,Карчове,26.100,53.366,Брестская,Карчово
Брестська,Коліно,25.550,51.933,Брестская,Колено
Брестська,Критишин,25.483,52.830,Брестская,Крытышин
Брестська,Молодове,25.700,52.283,Брестская,Молодово
Брестська,Мотоль,25.583,52.316,Брестская,Мотоль
Брестська,Мохро,25.550,51.966,Брестская,Мохро
Брестська,Одрижин,25.450,51.966,Брестская,Одрижин
Брестська,Опіль,25.450,52.316,Брестская,Ополь
Брестська,Потаповичі,25.666,52.660,Брестская,Потаповичи
Брестська,Снітове,25.433,52.133,Брестская,Снитово
Брестська,Тишковичі,25.616,52.350,Брестская,Тышковичи
Брестська,Битень,25.500,52.883,Брестская,Бытень
Брестська,Волька,25.633,52.783,Брестская,Волька
Брестська,Гортоль,25.900,52.500,Брестская,Гортоль
Брестська,Гощеве,25.200,52.683,Брестская,Гощево
Брестська,Добромисль,25.716,52.833,Брестская,Добромысль
Брестська,Доманове,25.483,52.833,Брестская,Доманово
Брестська,Житлин,25.366,52.566,Брестская,Житлин
Брестська,Івацевичі,25.350,52.716,Брестская,Ивацевичи
Брестська,Квасевичі,25.660,52.750,Брестская,Квасевичи
Брестська,Колонськ,25.783,52.466,Брестская,Колонск
Брестська,Косово,25.133,52.750,Брестская,Коссово
Брестська,Краї,26.000,52.500,Брестская,Краи
Брестська,Любищиці,25.416,52.766,Брестская,Любищицы
Брестська,Миронім,25.450,52.950,Брестская,Мироним
Брестська,Нехачеве,25.200,52.650,Брестская,Нехачево
Брестська,Оброво,25.550,52.516,Брестская,Оброво
Брестська,Угли,25.583,52.933,Брестская,Углы
Брестська,Верховичі,23.500,52.466,Брестская,Верховичи
Брестська,Відомля,23.783,52.333,Брестская,Видомля
Брестська,Войська,23.616,52.416,Брестская,Войская
Брестська,Вовчин,23.316,52.283,Брестская,Волчин
