region_name_ukr,location_name_ukr,lon,lat,region_name_ru,location_name_ru
Краснодарський край,Абинськ,38.150,44.866,Краснодарский край,Абинск
Краснодарський край,Аушед,38.400,45.500,Краснодарский край,Аушед
Краснодарський край,Охтирський,38.333,44.866,Краснодарский край,Ахтырский
Краснодарський край,Аше,39.283,43.950,Краснодарский край,Аше
Краснодарський край,Бережний,38.133,44.916,Краснодарский край,Бережной
Краснодарський край,Богдасарів,38.333,45.150,Краснодарский край,Богдасаров
Краснодарський край,Варнавинське,38.200,45.000,Краснодарский край,Варнавинское
Краснодарський край,Василівський,38.533,45.100,Краснодарский край,Васильевский
Краснодарський край,Верхня Ставропілка,38.830,44.866,Краснодарский край,Верхняя Ставрополька
Краснодарський край,Воробйов,38.450,44.950,Краснодарский край,Воробьев
Краснодарський край,Катеринівський,38.500,45.830,Краснодарский край,Екатериновский
Краснодарський край,Коробкин,38.250,44.933,Краснодарский край,Коробкин
Краснодарський край,Косовичі,38.566,45.830,Краснодарский край,Косовичи
Краснодарський край,Кравченко,38.500,44.933,Краснодарский край,Кравченко
Краснодарський край,Червонооктябрьський,38.366,44.933,Краснодарский край,Краснооктябрьский
Краснодарський край,Ленінський,38.233,45.166,Краснодарский край,Ленинский
Краснодарський край,Мінгрельська,38.333,45.160,Краснодарский край,Мингрельская
Краснодарський край,Нечаєвський,38.300,45.166,Краснодарский край,Нечаевский
Краснодарський край,Новосадовий,38.400,44.583,Краснодарский край,Новосадовый
Краснодарський край,Ольгинський,38.366,45.116,Краснодарский край,Ольгинский
Краснодарський край,Первомайський,38.450,44.933,Краснодарский край,Первомайский
Краснодарський край,Покровський,38.416,45.116,Краснодарский край,Покровский
Краснодарський край,Садовий,38.233,45.330,Краснодарский край,Садовый
Краснодарський край,Свердловський,38.533,45.830,Краснодарский край,Свердловский
Краснодарський край,Вільний,38.400,45.116,Краснодарский край,Свободный
Краснодарський край,Синьогорськ,38.350,44.766,Краснодарский край,Синегорск
Краснодарський край,Сосновий Гай,38.350,44.716,Краснодарский край,Сосновая Роща
Краснодарський край,Федорівська,38.466,45.830,Краснодарский край,Федоровская
Краснодарський край,Хабль,38.316,44.933,Краснодарский край,Хабль
Краснодарський край,Шапсугська,38.830,44.750,Краснодарский край,Шапсугская
Краснодарський край,Ерастів,38.500,44.950,Краснодарский край,Эрастов
Краснодарський край,Ериванська,38.183,44.716,Краснодарский край,Эриванская
Краснодарський край,Ериванський,38.216,44.800,Краснодарский край,Эриванский
Краснодарський край,Холмський,38.400,44.866,Краснодарский край,Холмский
Краснодарський край,Анапа,37.283,44.883,Краснодарский край,Анапа
Краснодарський край,Анапська,37.383,44.900,Краснодарский край,Анапская
Краснодарський край,Благовіщенська,37.133,45.500,Краснодарский край,Благовещенская
Краснодарський край,Великий Різнокол,37.466,45.150,Краснодарский край,Большой Разнокол
Краснодарський край,Великий Утриш,37.383,44.766,Краснодарский край,Большой Утриш
Краснодарський край,Бужор,37.416,44.850,Краснодарский край,Бужор
Краснодарський край,Варварівка,37.383,44.833,Краснодарский край,Варваровка
Краснодарський край,Верхньо-Вірменська Хобза (адмін. територія м. Сочі),39.600,43.750,Краснодарский край,Верхне-Армянская Хобза (админ. территория г. Сочи)
Краснодарський край,Вісник,37.450,45.100,Краснодарский край,Вестник
Краснодарський край,Виноградний,37.333,45.500,Краснодарский край,Виноградный
Краснодарський край,Вітязеве,37.266,45.000,Краснодарский край,Витязево
Краснодарський край,Воскресенський,37.333,44.966,Краснодарский край,Воскресенский
Краснодарський край,Гай-Кодзор,37.433,44.850,Краснодарский край,Гай-Кодзор
Краснодарський край,Гостагаївська,37.500,45.160,Краснодарский край,Гостагаевская
Краснодарський край,Іванів,37.450,45.116,Краснодарский край,Иванов
