region_name_ukr,location_name_ukr,lon,lat,region_name_ru,location_name_ru
Закарпатська,Вилок,22.83835,48.11033,Закарпатская,Вилок
Закарпатська,Королево,23.14631,48.14724,Закарпатская,Королево
Закарпатська,Берегове,22.64591,48.20543,Закарпатская,Береговое
Закарпатська,Неветленфолу,22.99593,48.01609,Закарпатская,Неветленфолу
Закарпатська,Берегуйфалу,22.80779,48.2765,Закарпатская,Берегуйфалу
Закарпатська,Хмільник,22.90546,48.27976,Закарпатская,Хмельник
Закарпатська,Кам'янське,22.93842,48.27976,Закарпатская,Каменское
Закарпатська,Великі Береги,22.75045,48.23152,Закарпатская,Большие Берега
Закарпатська,Велика Бийгань,22.57485,48.248,Закарпатская,Велика Бийгань
Закарпатська,Дийда,22.57433,48.21899,Закарпатская,Дийда
Закарпатська,Чома,22.63304,48.13539,Закарпатская,Чома
Закарпатська,Бадалово,22.63578,48.10982,Закарпатская,Бадалово
Закарпатська,Вари,22.71046,48.12509,Закарпатская,Вари
Закарпатська,Боржава,22.72162,48.15634,Закарпатская,Боржава
Закарпатська,Мужієво,22.70582,48.1802,Закарпатская,Мужиево
Закарпатська,Бене,22.75698,48.16629,Закарпатская,Бене
Закарпатська,Косонь,22.4552,48.25573,Закарпатская,Косонь
Закарпатська,Запсонь,22.46996,48.27993,Закарпатская,Запсонь
Закарпатська,Шаланки,22.88384,48.22775,Закарпатская,Шаланки
Закарпатська,Пушкіно,22.85997,48.17299,Закарпатская,Пушкино
Закарпатська,Вербовець,22.90873,48.16801,Закарпатская,Вербовец
Закарпатська,Підвиноградів,23.00125,48.13728,Закарпатская,Подвиноградов
Закарпатська,Нове Село,22.89036,48.11806,Закарпатская,Новая Деревня
Закарпатська,Фанчиково,22.9434,48.11376,Закарпатская,Фанчиково
Закарпатська,Тросник,22.95044,48.09986,Закарпатская,Тросник
Закарпатська,Ботар,22.97018,48.02656,Закарпатская,Ботар
Закарпатська,Великі Ком'яти,22.97894,48.23856,Закарпатская,Большие Комяты
Закарпатська,Вільхівка,23.07386,48.26345,Закарпатская,Ольховка
Закарпатська,Боржавське,23.05567,48.2547,Закарпатская,Боржавское
Закарпатська,Великий Раковець,23.16759,48.27083,Закарпатская,Великий Раковец
Закарпатська,Рокосово,23.17909,48.20869,Закарпатская,Рокосово
Закарпатська,Велика Копаня,23.12794,48.19153,Закарпатская,Велика Копаня
Закарпатська,Букове,23.07009,48.18106,Закарпатская,Буковое
Закарпатська,Чепа,23.01842,48.06913,Закарпатская,Чепа
Закарпатська,Чорнотисів,23.05361,48.07823,Закарпатская,Чорнотисів
Закарпатська,Дюла,23.07781,48.03411,Закарпатская,Дюла
Закарпатська,Сасово,23.07541,48.09437,Закарпатская,Сасово
Закарпатська,Теково,23.09927,48.12355,Закарпатская,Теково
Закарпатська,Хижа,23.20656,48.10896,Закарпатская,Хижина
Закарпатська,Черна,23.19111,48.13694,Закарпатская,Черна
