,Region,Region Lemmatized,Region Abb,Region Suffix,Region Lemmatized Name
0,Черкасская область,черкасский область,черк обл,,черкасский
1,Черниговская область,черниговский область,черниг обл,черниговщина,черниговский
2,Черновицкая область,черновицкий область,чернов обл,,черновицкий
3,Днепропетровская область,днепропетровский область,днепр обл,днепропетровщина,днепропетровский
4,Донецкая область,донецкий область,донец обл,,донецкий
5,Харьковская область,харьковский область,харьк обл,харьковщина,харьковский
6,Херсонская область,херсонский область,херсон обл,херсонщина,херсонский
7,Хмельницкая область,хмельницкий область,хмел обл,хмельнитчина,хмельницкий
8,Ивано-Франковская область,ивано-франковский область,ивано-франк обл,,ивано-франковский
9,Кировоградская область,кировоградский область,кировог обл,кировоградщина,кировоградский
10,Киевская область,киевский область,киев обл,киевщина,киевский
11,Луганская область,луганский область,луган обл,луганщина,луганский
12,Львовская область,львовский область,львов обл,львовщина,львовский
13,Николаевская область,николаевский область,никол обл,николаевщина,николаевский
14,Одесская область,одесский область,одес обл,,одесский
15,Полтавская область,полтавский область,полтав обл,полтавщина,полтавский
16,Ровенская область,ровенский область,ровн обл,ровенщина,ровенский
17,Сумская область,сумской область,сумс обл,сумщина,сумской
18,Тернопольская область,тернопольский область,терноп обл,тернопольщина,тернопольский
19,Винницкая область,винницкий область,винн обл,,винницкий
20,Волынская область,волынский область,волын обл,,волынский
21,Закарпатская область,закарпатский область,запор обл,,закарпатский
22,Запорожская область,запорожский область,закарп обл,,запорожский
23,Житомирская область,житомирский область,житом обл,житомирщина,житомирский
